name,pct_black
View Park-Windsor Hills,0.87
Gramercy Park,0.86
Leimert Park,0.80
Manchester Square,0.79
Baldwin Hills/Crenshaw,0.71
Ladera Heights,0.71
Hyde Park,0.66
Chesterfield Square,0.59
West Compton,0.58
Westmont,0.58
Athens,0.54
Harvard Park,0.48
Jefferson Park,0.47
Inglewood,0.46
Vermont Vista,0.45
Willowbrook,0.44
Green Meadows,0.44
Veterans Administration,0.44
Vermont Knolls,0.43
Compton,0.40
Broadway-Manchester,0.39
Vermont Square,0.39
Mid-City,0.38
Exposition Park,0.38
West Adams,0.38
Watts,0.37
Vermont-Slauson,0.37
Hawthorne,0.32
Altadena,0.31
Florence,0.28
Rancho Dominguez,0.28
Adams-Normandie,0.25
Carson,0.25
Arlington Heights,0.25
Gardena,0.25
East Compton,0.23
Mid-Wilshire,0.23
Downtown,0.22
South Park,0.19
Alondra Park,0.19
Lake View Terrace,0.17
Westchester,0.17
Harbor Gateway,0.16
Harvard Heights,0.16
Lancaster,0.15
Long Beach,0.14
Pasadena,0.14
Palmdale,0.14
Central-Alameda,0.13
Lynwood,0.13
Castaic,0.13
Carthay,0.13
Florence-Firestone,0.13
Bellflower,0.12
Palms,0.12
Paramount,0.12
Lawndale,0.12
Sun Village,0.11
Desert View Highlands,0.11
Culver City,0.11
Harbor City,0.11
Signal Hill,0.11
West Carson,0.11
Angeles Crest,0.10
Historic South-Central,0.10
Littlerock,0.10
Lake Los Angeles,0.09
Pomona,0.09
Duarte,0.09
Lopez/Kagel Canyons,0.09
Mayflower Village,0.09
Monrovia,0.08
Northeast Antelope Valley,0.08
Pacoima,0.07
Del Aire,0.07
University Park,0.07
Lakewood,0.07
Val Verde,0.07
Cerritos,0.06
San Pedro,0.06
Van Nuys,0.06
West Covina,0.06
North Hollywood,0.06
Pico-Robertson,0.06
Quartz Hill,0.06
Valley Village,0.06
Green Valley,0.06
Venice,0.05
Northridge,0.05
Toluca Lake,0.05
Hollywood,0.05
Koreatown,0.05
North Hills,0.05
Marina del Rey,0.05
Charter Oak,0.05
Playa Vista,0.05
Hasley Canyon,0.05
Claremont,0.05
Covina,0.05
Hawaiian Gardens,0.05
Hollywood Hills,0.05
Diamond Bar,0.05
Del Rey,0.04
Sherman Oaks,0.04
Panorama City,0.04
Winnetka,0.04
Norwalk,0.04
Elizabeth Lake,0.04
Windsor Square,0.04
Canoga Park,0.04
Lake Hughes,0.04
Beverlywood,0.04
Lennox,0.04
Reseda,0.04
Lomita,0.04
Sylmar,0.04
Mission Hills,0.04
Valley Glen,0.04
Playa del Rey,0.04
Westlake,0.04
Hancock Park,0.04
Walnut,0.04
Valinda,0.04
Studio City,0.04
Los Feliz,0.04
Citrus,0.04
Rancho Park,0.04
Tarzana,0.04
Vincent,0.04
Santa Monica,0.04
Downey,0.04
Lake Balboa,0.04
Mar Vista,0.04
Azusa,0.03
Granada Hills,0.03
Tujunga Canyons,0.03
Santa Fe Springs,0.03
Silver Lake,0.03
San Pasqual,0.03
Artesia,0.03
Ramona,0.03
Larchmont,0.03
Woodland Hills,0.03
Castaic Canyons,0.03
Pico-Union,0.03
Montecito Heights,0.03
West San Dimas,0.03
La Verne,0.03
West Hollywood,0.03
Unincorporated Santa Susana Mountains,0.03
South Pasadena,0.03
San Dimas,0.03
Hollywood Hills West,0.03
Mount Washington,0.03
Sawtelle,0.03
Wilmington,0.03
West Hills,0.03
East Hollywood,0.02
Highland Park,0.02
Encino,0.02
West Los Angeles,0.02
Sunland,0.02
La Habra Heights,0.02
Rowland Heights,0.02
Redondo Beach,0.02
East Pasadena,0.02
Fairfax,0.02
Chatsworth,0.02
Arleta,0.02
Stevenson Ranch,0.02
Elysian Park,0.02
Santa Clarita,0.02
Northwest Antelope Valley,0.02
Rancho Palos Verdes,0.02
South San Jose Hills,0.02
Westwood,0.02
Echo Park,0.02
Beverly Grove,0.02
La Puente,0.02
West Puente Valley,0.02
Torrance,0.02
Eagle Rock,0.02
Sun Valley,0.02
Tujunga,0.02
Porter Ranch,0.02
Chinatown,0.02
Rolling Hills,0.02
La Mirada,0.02
Beverly Crest,0.02
Industry,0.02
El Sereno,0.02
Burbank,0.02
East San Gabriel,0.02
Unincorporated Santa Monica Mountains,0.02
Southeast Antelope Valley,0.02
Northwest Palmdale,0.02
East La Mirada,0.01
Century City,0.01
Glassell Park,0.01
North El Monte,0.01
Alhambra,0.01
Ridge Route,0.01
Atwater Village,0.01
Beverly Hills,0.01
Baldwin Park,0.01
Glendora,0.01
Cheviot Hills,0.01
Shadow Hills,0.01
Rolling Hills Estates,0.01
Brentwood,0.01
Malibu,0.01
Hacienda Heights,0.01
Sierra Madre,0.01
Palos Verdes Estates,0.01
Elysian Valley,0.01
El Segundo,0.01
Bradbury,0.01
Glendale,0.01
South Whittier,0.01
San Gabriel,0.01
Calabasas,0.01
Whittier,0.01
Bel-Air,0.01
Boyle Heights,0.01
Temple City,0.01
West Whittier-Los Nietos,0.01
Arcadia,0.01
Agoura Hills,0.01
Acton,0.01
Bell,0.01
North Whittier,0.01
San Fernando,0.01
Hermosa Beach,0.01
Avocado Heights,0.01
South Gate,0.01
Topanga,0.01
Rosemead,0.01
Bell Gardens,0.01
Cypress Park,0.01
South San Gabriel,0.01
Huntington Park,0.01
El Monte,0.01
Pico Rivera,0.01
Montebello,0.01
San Marino,0.01
La Crescenta-Montrose,0.01
La Cañada Flintridge,0.01
Manhattan Beach,0.01
Leona Valley,0.01
Westlake Village,0.01
Hidden Hills,0.00
Lincoln Heights,0.00
Pacific Palisades,0.00
Commerce,0.00
East Los Angeles,0.00
Avalon,0.00
Agua Dulce,0.00
Cudahy,0.00
Monterey Park,0.00
South El Monte,0.00
Walnut Park,0.00
Maywood,0.00
Vernon,0.00
Unincorporated Catalina Island,0.00
Irwindale,0.00