name,crime_percapita,crime_total
Chesterfield Square,192.7,123
Harvard Park,136.9,149
Vermont Vista,133.8,333
Green Meadows,131.2,401
Vermont Knolls,121,261
Broadway-Manchester,110.5,285
Manchester Square,102.3,124
Vermont-Slauson,100.8,286
Gramercy Park,100.2,112
Leimert Park,99.9,123
Florence,87.7,409
Vermont Square,86,409
Chinatown,77.7,224
Watts,73.4,301
Baldwin Hills/Crenshaw,72.2,232
Exposition Park,70.8,237
Fairfax,65.9,88
Hyde Park,64.4,250
South Park,62.7,206
Hollywood,60.2,515
Elysian Park,60.2,16
Castaic Canyons,59.3,46
Historic South-Central,55.4,291
Athens,52.7,48
Rancho Dominguez,51.5,13
Westmont,50.8,160
Jefferson Park,50.6,123
West Adams,48.1,110
Westlake,47.6,560
Central-Alameda,46.5,203
Harvard Heights,44.1,89
East Pasadena,43,26
Downtown,42.8,887
Cypress Park,41.5,45
Pico-Union,41,183
University Park,40.5,102
Venice,40.1,164
Adams-Normandie,39.5,73
Mid-City,39.1,215
West Compton,38.6,21
Boyle Heights,38.2,379
Beverly Grove,38.1,87
Carthay,37.1,19
Mission Hills,36,70
Arlington Heights,36,84
Wilmington,34.7,189
Canoga Park,34.7,210
East Hollywood,32.1,251
Koreatown,30.9,384
North Hills,30.8,180
Rancho Park,30.7,14
Willowbrook,30.6,105
Lincoln Heights,30.4,90
Harbor Gateway,30,126
Van Nuys,29.6,328
Panorama City,29.3,204
Compton,29.2,276
West Hollywood,28.8,103
Northeast Antelope Valley,28.6,13
Castaic,28.5,48
Larchmont,27.2,25
Florence-Firestone,26.4,159
Lake Balboa,26.3,69
Hancock Park,25.3,27
North Hollywood,24.9,217
Studio City,24.7,92
Pacoima,24.6,200
East Compton,23.9,33
Harbor City,23.8,62
Mid-Wilshire,23.7,112
San Pedro,22.1,190
Winnetka,22.1,121
Echo Park,21.7,95
Northridge,21,130
Valley Glen,20.7,130
Sawtelle,20.7,80
Reseda,20.4,136
Sun Valley,20.4,167
Hollywood Hills,19.1,44
Lancaster,19,230
Woodland Hills,18.9,120
Sunland,18.8,31
Tarzana,18.5,70
Westchester,18.1,78
Atwater Village,18.1,28
Windsor Square,17.8,11
Sylmar,17.7,141
Unincorporated Santa Susana Mountains,17.7,8
Chatsworth,17.5,65
Toluca Lake,17.5,15
Beverlywood,17.1,11
Sherman Oaks,16.8,110
Hawaiian Gardens,16.8,25
South El Monte,16.7,35
El Sereno,16.7,73
Pico-Robertson,16.6,32
Glassell Park,16.5,41
Lake View Terrace,16.5,21
Mount Washington,16.3,22
Arleta,16.2,53
Los Feliz,16.2,60
West Los Angeles,16.2,22
Highland Park,15.5,94
Montecito Heights,15.4,28
Lynwood,15,105
Silver Lake,14.9,49
Encino,14.8,66
Littlerock,14.4,2
Hollywood Hills West,14.4,23
Paramount,14.1,78
Alondra Park,13.9,12
Lennox,13.5,31
Shadow Hills,13.3,19
Green Valley,13.3,1
West Hills,13,54
Palmdale,12.5,147
Valley Village,12.5,32
Granada Hills,12.4,67
West Carson,12.4,26
Ladera Heights,12.3,8
Artesia,12.2,20
Del Rey,12.1,40
Palms,12.1,55
View Park-Windsor Hills,11.7,13
Carson,11.7,105
Southeast Antelope Valley,11.4,6
Beverly Crest,11.2,13
South San Gabriel,11.1,9
Walnut Park,10.5,17
Eagle Rock,10.4,36
East San Gabriel,10.4,23
Avocado Heights,10.3,18
Elysian Valley,10.3,8
Norwalk,10.2,105
Pico Rivera,10.1,64
Bellflower,10,73
Playa Vista,10,6
Cerritos,9.8,51
Marina del Rey,9.6,8
La Puente,9.3,38
Lawndale,9.1,29
South Whittier,8.9,49
Duarte,8.8,19
Rowland Heights,8.8,42
Tujunga,8.8,25
Malibu,8.8,11
Quartz Hill,8.6,8
Lomita,8.5,17
Westwood,8.5,44
Lakewood,8.3,66
Playa del Rey,8,9
Unincorporated Santa Monica Mountains,7.8,7
Del Aire,7.7,7
Rosemead,7.7,41
Mar Vista,7.5,28
Vincent,7.3,11
Leona Valley,7.3,1
Brentwood,6.9,23
North Whittier,6.9,3
Citrus,6.7,8
Charter Oak,6.6,6
West Whittier-Los Nietos,6.6,17
Northwest Palmdale,6.4,2
East La Mirada,6.4,6
Pacific Palisades,5.9,15
Westlake Village,5.8,5
San Dimas,5.7,20
Cheviot Hills,5.5,4
Altadena,4.9,21
Hacienda Heights,4.9,26
West Puente Valley,4.6,11
Acton,4.6,3
Temple City,4.5,15
Lake Los Angeles,4.5,5
Desert View Highlands,4.4,1
Mayflower Village,4.3,5
South San Jose Hills,3.9,8
Santa Clarita,3.9,62
Porter Ranch,3.9,12
Calabasas,3.9,9
Valinda,3.7,8
La Habra Heights,3.3,2
Agua Dulce,3.2,1
Northwest Antelope Valley,3,1
Agoura Hills,3,6
Topanga,2.7,2
La Mirada,2.6,12
Bel-Air,2.4,2
Stevenson Ranch,2.3,2
La Crescenta-Montrose,2.2,4
Sun Village,2.1,2
Diamond Bar,1.9,11
Rancho Palos Verdes,1.9,8
Walnut,1.3,4
Century City,1.2,6
Rolling Hills Estates,1.2,1
La Cañada Flintridge,1,2
Hidden Hills,0,0
West San Dimas,0,0
Rolling Hills,0,0
Elizabeth Lake,0,0
Hasley Canyon,0,0
Bradbury,0,0
Lake Hughes,0,0
Ramona,0,0
North El Monte,0,0
Val Verde,0,0
San Pasqual,0,0
Avalon,0,0