name,pct_home
Hidden Hills,0.97
La Habra Heights,0.94
Porter Ranch,0.92
San Marino,0.92
Rolling Hills Estates,0.91
Rolling Hills,0.91
Palos Verdes Estates,0.91
Leona Valley,0.90
Hasley Canyon,0.90
Beverly Crest,0.90
La Cañada Flintridge,0.90
Walnut,0.89
Angeles Crest,0.88
Northwest Palmdale,0.88
Acton,0.88
Castaic,0.88
West Hills,0.87
Agua Dulce,0.87
West San Dimas,0.87
Westlake Village,0.87
Tujunga Canyons,0.87
Rancho Dominguez,0.87
Green Valley,0.86
Castaic Canyons,0.86
Bel-Air,0.86
North Whittier,0.85
Bradbury,0.84
Agoura Hills,0.84
Stevenson Ranch,0.84
Cerritos,0.83
Diamond Bar,0.83
Pacific Palisades,0.83
Southeast Antelope Valley,0.82
La Mirada,0.82
Rancho Palos Verdes,0.82
Northwest Antelope Valley,0.81
Desert View Highlands,0.81
Arleta,0.80
Calabasas,0.80
Hacienda Heights,0.80
Ridge Route,0.79
South San Jose Hills,0.79
Littlerock,0.79
Mission Hills,0.78
La Verne,0.78
Carson,0.78
Lake Los Angeles,0.78
Shadow Hills,0.78
Sun Village,0.78
Valinda,0.78
Quartz Hill,0.78
Elizabeth Lake,0.77
Lake Hughes,0.77
West Puente Valley,0.77
Ladera Heights,0.77
Topanga,0.76
Mayflower Village,0.76
View Park-Windsor Hills,0.76
Unincorporated Santa Monica Mountains,0.75
West Carson,0.75
Lake View Terrace,0.75
Altadena,0.75
Ramona,0.74
Lopez/Kagel Canyons,0.74
Northeast Antelope Valley,0.74
Granada Hills,0.74
San Dimas,0.74
Glendora,0.74
Santa Clarita,0.73
Val Verde,0.73
Avocado Heights,0.72
Lakewood,0.72
Malibu,0.72
East Pasadena,0.71
Chatsworth,0.71
Duarte,0.71
Palmdale,0.71
Sylmar,0.71
West Whittier-Los Nietos,0.71
West Compton,0.71
Gramercy Park,0.70
Beverlywood,0.70
Pico Rivera,0.70
Irwindale,0.69
Sunland,0.69
Vincent,0.68
Claremont,0.68
South San Gabriel,0.67
Rowland Heights,0.67
West Covina,0.67
Del Aire,0.66
Lake Balboa,0.66
Norwalk,0.66
Manhattan Beach,0.65
La Crescenta-Montrose,0.65
East La Mirada,0.65
South Whittier,0.65
North El Monte,0.65
Cheviot Hills,0.64
Hollywood Hills West,0.64
Woodland Hills,0.63
Temple City,0.63
Citrus,0.63
Charter Oak,0.63
Santa Fe Springs,0.63
Sierra Madre,0.63
Arcadia,0.62
San Pasqual,0.62
Unincorporated Santa Susana Mountains,0.62
Encino,0.62
Lancaster,0.61
La Puente,0.61
Baldwin Park,0.61
Century City,0.60
Covina,0.60
Tarzana,0.59
Whittier,0.58
Pomona,0.57
Compton,0.57
Manchester Square,0.57
Pacoima,0.57
Artesia,0.57
East Compton,0.56
Eagle Rock,0.56
Torrance,0.56
Athens,0.56
Tujunga,0.55
Mount Washington,0.55
Playa Vista,0.55
Culver City,0.54
Rancho Park,0.54
East San Gabriel,0.54
Monterey Park,0.54
Sun Valley,0.54
San Fernando,0.54
Walnut Park,0.54
Northridge,0.54
Willowbrook,0.52
Reseda,0.52
Westchester,0.52
Downey,0.52
Winnetka,0.52
Alondra Park,0.52
Brentwood,0.52
Harvard Park,0.51
Montecito Heights,0.51
Chesterfield Square,0.51
Azusa,0.50
South El Monte,0.50
Redondo Beach,0.50
North Hills,0.49
West Los Angeles,0.49
Rosemead,0.49
Green Meadows,0.48
El Sereno,0.48
Monrovia,0.48
Elysian Valley,0.48
San Gabriel,0.48
Montebello,0.48
Commerce,0.47
Gardena,0.47
Hancock Park,0.47
Lynwood,0.47
Playa del Rey,0.47
South Gate,0.47
Hyde Park,0.47
Lomita,0.47
Signal Hill,0.46
Pasadena,0.46
Leimert Park,0.46
Harbor City,0.46
Hawaiian Gardens,0.45
Del Rey,0.45
South Pasadena,0.44
Studio City,0.44
San Pedro,0.44
Glassell Park,0.44
Burbank,0.44
Hollywood Hills,0.44
Beverly Hills,0.44
Paramount,0.43
Hermosa Beach,0.43
El Segundo,0.42
Cypress Park,0.42
Long Beach,0.41
Sherman Oaks,0.41
El Monte,0.41
Windsor Square,0.41
Vermont Vista,0.40
Atwater Village,0.40
Harbor Gateway,0.40
Bellflower,0.40
Industry,0.40
Mar Vista,0.39
Alhambra,0.39
Highland Park,0.39
Vermont-Slauson,0.39
Wilmington,0.39
Glendale,0.38
Toluca Lake,0.38
Florence-Firestone,0.38
West Adams,0.37
Valley Glen,0.37
Broadway-Manchester,0.37
Vermont Square,0.37
East Los Angeles,0.37
Inglewood,0.36
Canoga Park,0.36
Panorama City,0.36
Westwood,0.36
Silver Lake,0.36
Carthay,0.35
Florence,0.35
Lawndale,0.33
Watts,0.33
Westmont,0.32
Valley Village,0.31
Venice,0.31
Mid-City,0.31
Exposition Park,0.31
Bell,0.31
Baldwin Hills/Crenshaw,0.31
Jefferson Park,0.31
Santa Monica,0.30
Central-Alameda,0.30
Maywood,0.30
Lennox,0.29
Fairfax,0.29
Vermont Knolls,0.28
South Park,0.28
Huntington Park,0.27
Avalon,0.27
Larchmont,0.27
Pico-Robertson,0.27
Van Nuys,0.26
Hawthorne,0.26
Beverly Grove,0.25
North Hollywood,0.25
Los Feliz,0.25
Boyle Heights,0.24
Lincoln Heights,0.24
Echo Park,0.24
Bell Gardens,0.24
Mid-Wilshire,0.22
West Hollywood,0.22
Adams-Normandie,0.21
Historic South-Central,0.20
Sawtelle,0.20
Arlington Heights,0.18
Elysian Park,0.18
Cudahy,0.17
Vernon,0.16
Harvard Heights,0.16
Palms,0.13
Pico-Union,0.10
Chinatown,0.09
East Hollywood,0.09
Marina del Rey,0.08
University Park,0.08
Hollywood,0.08
Koreatown,0.07
Downtown,0.07
Westlake,0.05
Veterans Administration,0.00
Unincorporated Catalina Island,0.00