Rank,name,med_inc,,,
1,Bel-Air,207938.00,,,
2,Hidden Hills,203199.00,,,
3,Rolling Hills,184777.00,,,
4,Beverly Crest,169282.00,,,
5,Pacific Palisades,168008.00,,,
6,Palos Verdes Estates,167344.00,,,
7,San Marino,158855.00,,,
8,La Cañada Flintridge,148996.00,,,
9,Rolling Hills Estates,145628.00,,,
10,Malibu,138215.00,,,
11,La Habra Heights,137034.00,,,
12,Manhattan Beach,136481.00,,,
13,Unincorporated Santa Monica Mountains,132997.00,,,
14,Rancho Palos Verdes,128321.00,,,
15,Westlake Village,126550.00,,,
16,Calabasas,126178.00,,,
17,West San Dimas,125984.00,,,
18,Bradbury,123773.00,,,
19,Stevenson Ranch,122833.00,,,
20,Porter Ranch,121428.00,,,
21,Topanga,120319.00,,,
22,Ladera Heights,117925.00,,,
23,Agoura Hills,117608.00,,,
24,Leona Valley,117526.00,,,
25,Brentwood,112927.00,,,
26,Cheviot Hills,111813.00,,,
27,Hermosa Beach,109509.00,,,
28,Castaic,108693.00,,,
29,Hollywood Hills West,108199.00,,,
30,Walnut,106893.00,,,
31,Hasley Canyon,106489.00,,,
32,Agua Dulce,106078.00,,,
33,Beverlywood,105253.00,,,
34,Northwest Palmdale,103013.00,,,
35,West Hills,103008.00,,,
36,Cerritos,98212.00,,,
37,Beverly Hills,96312.00,,,
38,Century City,95135.00,,,
39,North Whittier,93841.00,,,
40,Unincorporated Santa Susana Mountains,93825.00,,,
41,Castaic Canyons,93248.00,,,
42,San Pasqual,92917.00,,,
43,Ridge Route,92822.00,,,
44,Marina del Rey,92763.00,,,
45,Diamond Bar,92414.00,,,
46,Redondo Beach,92263.00,,,
47,Playa del Rey,91339.00,,,
48,Woodland Hills,89946.00,,,
49,Claremont,89804.00,,,
50,Santa Clarita,88987.00,,,
51,Sierra Madre,88008.00,,,
52,West Los Angeles,86403.00,,,
53,Ramona,86325.00,,,
54,Tujunga Canyons,85625.00,,,
55,Hancock Park,85277.00,,,
56,San Dimas,84953.00,,,
57,Chatsworth,84456.00,,,
58,Acton,83983.00,,,
59,El Segundo,83925.00,,,
60,Granada Hills,83911.00,,,
61,La Mirada,83514.00,,,
62,La Verne,83352.00,,,
63,Shadow Hills,82796.00,,,
64,La Crescenta-Montrose,82693.00,,,
65,Altadena,82676.00,,,
66,Glendora,81336.00,,,
67,Vernon,81279.00,,,
68,View Park-Windsor Hills,81214.00,,,
69,Desert View Highlands,80867.00,,,
70,Hacienda Heights,80762.00,,,
71,Lakewood,78764.00,,,
72,Green Valley,78712.00,,,
73,Encino,78529.00,,,
74,Quartz Hill,77498.00,,,
75,Westchester,77473.00,,,
76,Torrance,76866.00,,,
77,South Pasadena,76229.00,,,
78,Elizabeth Lake,75951.00,,,
79,Arcadia,75808.00,,,
80,Mission Hills,75675.00,,,
81,Studio City,75657.00,,,
82,Lake Hughes,74918.00,,,
83,East Pasadena,73690.00,,,
84,Tarzana,73195.00,,,
85,Toluca Lake,73111.00,,,
86,Angeles Crest,72841.00,,,
87,Rowland Heights,72638.00,,,
88,Rancho Dominguez,72097.00,,,
89,West Covina,71898.00,,,
90,Carthay,71398.00,,,
91,Culver City,70774.00,,,
92,Carson,70645.00,,,
93,Southeast Antelope Valley,70134.00,,,
94,Valinda,70037.00,,,
95,East La Mirada,69930.00,,,
96,Rancho Park,69724.00,,,
97,Sherman Oaks,69651.00,,,
98,Hollywood Hills,69277.00,,,
99,Santa Monica,69013.00,,,
100,Sunland,68720.00,,,
101,Westwood,68716.00,,,
102,Playa Vista,68597.00,,,
103,Duarte,68539.00,,,
104,Charter Oak,68092.00,,,
105,Val Verde,68073.00,,,
106,Lake View Terrace,67985.00,,,
107,Northridge,67906.00,,,
108,Venice,67647.00,,,
109,Mayflower Village,67592.00,,,
110,Eagle Rock,67253.00,,,
111,Whittier,66891.00,,,
112,West Carson,66805.00,,,
113,Citrus,66638.00,,,
114,Industry,66616.00,,,
115,Del Aire,66442.00,,,
116,Covina,66438.00,,,
117,Signal Hill,66283.00,,,
118,Vincent,66221.00,,,
119,Temple City,65965.00,,,
120,Fairfax,65938.00,,,
121,Sylmar,65783.00,,,
122,Arleta,65649.00,,,
123,South San Jose Hills,65527.00,,,
124,Lake Balboa,65336.00,,,
125,South San Gabriel,64827.00,,,
126,West Puente Valley,64809.00,,,
127,South Whittier,64670.00,,,
128,Avocado Heights,64544.00,,,
129,Burbank,64416.00,,,
130,East San Gabriel,64365.00,,,
131,Pico-Robertson,63356.00,,,
132,Palmdale,63317.00,,,
133,Beverly Grove,63039.00,,,
134,Pasadena,62825.00,,,
135,Mar Vista,62611.00,,,
136,Winnetka,62535.00,,,
137,Norwalk,62412.00,,,
138,Del Rey,62259.00,,,
139,Downey,61839.00,,,
140,Windsor Square,61767.00,,,
141,West Whittier-Los Nietos,61504.00,,,
141,Monrovia,61504.00,,,
143,Lopez/Kagel Canyons,61398.00,,,
144,Irwindale,60959.00,,,
145,Littlerock,60781.00,,,
146,Veterans Administration,60561.00,,,
147,Artesia,60538.00,,,
148,Santa Fe Springs,60445.00,,,
149,Lomita,59059.00,,,
150,Northwest Antelope Valley,58899.00,,,
151,Mid-Wilshire,58483.00,,,
152,Tujunga,58001.00,,,
153,Gramercy Park,57983.00,,,
154,Mount Washington,57725.00,,,
155,Sawtelle,57710.00,,,
156,San Pedro,57508.00,,,
157,Alondra Park,57177.00,,,
158,Glendale,57112.00,,,
159,San Gabriel,56687.00,,,
160,Pico Rivera,56683.00,,,
161,Baldwin Park,56585.00,,,
162,North El Monte,56577.00,,,
163,Unincorporated Catalina Island,56295.00,,,
164,Sun Village,56175.00,,,
165,Lancaster,56069.00,,,
166,La Puente,55902.00,,,
167,Montecito Heights,55901.00,,,
168,Valley Village,55470.00,,,
169,Harbor City,55454.00,,,
170,Monterey Park,55210.00,,,
171,Reseda,54771.00,,,
172,Silver Lake,54339.00,,,
173,Pomona,54242.00,,,
174,San Fernando,54068.00,,,
175,Atwater Village,53872.00,,,
176,Bellflower,53325.00,,,
177,Azusa,53299.00,,,
178,Alhambra,53224.00,,,
179,Avalon,53200.00,,,
180,Lawndale,53150.00,,,
181,Gardena,52897.00,,,
182,West Hollywood,52855.00,,,
183,Montebello,52623.00,,,
184,North Hills,52456.00,,,
185,Northeast Antelope Valley,52234.00,,,
186,Lake Los Angeles,52146.00,,,
187,Canoga Park,51601.00,,,
188,Sun Valley,51290.00,,,
189,Long Beach,50985.00,,,
190,Los Feliz,50793.00,,,
191,Palms,50684.00,,,
192,Glassell Park,50098.00,,,
193,Paramount,49815.00,,,
194,Rosemead,49387.00,,,
195,Pacoima,49066.00,,,
196,Elysian Valley,49013.00,,,
197,Athens,48824.00,,,
198,Walnut Park,48750.00,,,
199,Lynwood,48518.00,,,
200,South Gate,48312.00,,,
201,West Compton,48093.00,,,
202,Harbor Gateway,47849.00,,,
203,Larchmont,47780.00,,,
204,South El Monte,46912.00,,,
205,Hawaiian Gardens,46853.00,,,
206,Inglewood,46574.00,,,
207,Commerce,46245.00,,,
208,Valley Glen,46175.00,,,
209,Manchester Square,46093.00,,,
210,El Sereno,45866.00,,,
211,Leimert Park,45865.00,,,
212,Highland Park,45478.00,,,
213,Panorama City,44468.00,,,
214,East Compton,44439.00,,,
215,El Monte,44415.00,,,
216,Mid-City,43711.00,,,
217,Hawthorne,43602.00,,,
218,Compton,43157.00,,,
219,North Hollywood,42791.00,,,
220,Cypress Park,42615.00,,,
221,Bell Gardens,41532.00,,,
222,Maywood,41203.00,,,
223,Van Nuys,41134.00,,,
224,Wilmington,40627.00,,,
225,Bell,40556.00,,,
226,Hyde Park,39460.00,,,
227,Huntington Park,39185.00,,,
228,Cudahy,39048.00,,,
229,East Los Angeles,38621.00,,,
230,Willowbrook,38224.00,,,
231,West Adams,38209.00,,,
232,Baldwin Hills/Crenshaw,37948.00,,,
233,Lennox,37937.00,,,
234,Chesterfield Square,37737.00,,,
235,Echo Park,37708.00,,,
236,Harvard Park,37013.00,,,
237,Florence-Firestone,34408.00,,,
238,Exposition Park,33999.00,,,
239,Hollywood,33694.00,,,
240,Boyle Heights,33235.00,,,
241,Jefferson Park,32654.00,,,
242,Westmont,31572.00,,,
243,Central-Alameda,31559.00,,,
244,Arlington Heights,31421.00,,,
245,Green Meadows,31347.00,,,
246,Vermont Vista,31272.00,,,
247,Vermont-Slauson,31236.00,,,
248,Harvard Heights,31173.00,,,
249,Historic South-Central,30882.00,,,
250,Lincoln Heights,30579.00,,,
251,Koreatown,30558.00,,,
252,East Hollywood,29927.00,,,
253,Vermont Square,29904.00,,,
254,Broadway-Manchester,29897.00,,,
255,Adams-Normandie,29606.00,,,
256,South Park,29518.00,,,
257,Florence,29447.00,,,
258,Elysian Park,28263.00,,,
259,Vermont Knolls,27730.00,,,
260,Westlake,26757.00,,,
261,Pico-Union,26424.00,,,
262,Watts,25161.00,,,
263,Chinatown,22754.00,,,
264,University Park,18533.00,,,
265,Downtown,15003.00,,,