name,pop_density
Koreatown,"42,611"
Westlake,"38,214"
East Hollywood,"31,095"
Pico-Union,"25,352"
Maywood,"23,638"
Harvard Heights,"23,473"
Hollywood,"22,193"
Walnut Park,"22,028"
Palms,"21,870"
Adams-Normandie,"21,848"
South Park,"21,638"
Lennox,"21,557"
Arlington Heights,"21,423"
Huntington Park,"20,223"
University Park,"20,217"
Cudahy,"19,697"
Historic South-Central,"19,474"
West Hollywood,"18,924"
Central-Alameda,"18,760"
Vermont-Slauson,"18,577"
Vermont Knolls,"18,057"
Panorama City,"18,028"
Vermont Square,"17,798"
Bell Gardens,"17,762"
Larchmont,"17,747"
Pico-Robertson,"17,468"
Watts,"17,346"
Westmont,"17,066"
Echo Park,"16,868"
East Los Angeles,"16,863"
Highland Park,"16,835"
Exposition Park,"16,819"
Florence-Firestone,"16,805"
East Compton,"16,542"
Jefferson Park,"16,300"
Lawndale,"16,119"
Harvard Park,"16,072"
Florence,"15,661"
Hawaiian Gardens,"15,141"
Broadway-Manchester,"15,060"
Mid-City,"15,051"
Mid-Wilshire,"14,988"
West Adams,"14,686"
Bell,"14,357"
Lynwood,"14,264"
Boyle Heights,"14,229"
Vermont Vista,"14,154"
Hawthorne,"13,848"
South San Jose Hills,"13,646"
Los Feliz,"13,512"
Cypress Park,"13,478"
Sawtelle,"13,319"
North Hollywood,"13,264"
Westwood,"13,036"
Beverly Grove,"12,990"
South Gate,"12,945"
West Puente Valley,"12,855"
Green Meadows,"12,785"
Hyde Park,"12,700"
Hermosa Beach,"12,481"
Inglewood,"12,330"
Valley Glen,"12,325"
Mar Vista,"12,259"
Canoga Park,"12,240"
West Los Angeles,"12,061"
El Monte,"11,995"
Venice,"11,891"
Citrus,"11,827"
La Puente,"11,761"
Bellflower,"11,756"
Valley Village,"11,600"
Van Nuys,"11,542"
Manchester Square,"11,449"
Del Rey,"11,420"
Paramount,"11,395"
Alhambra,"11,275"
Silver Lake,"11,266"
Baldwin Park,"11,176"
Valinda,"10,748"
Lincoln Heights,"10,602"
Reseda,"10,600"
Norwalk,"10,572"
Chinatown,"10,568"
Pacoima,"10,510"
Baldwin Hills/Crenshaw,"10,446"
Lomita,"10,424"
Rosemead,"10,332"
South Whittier,"10,291"
Vincent,"10,163"
East San Gabriel,"10,157"
Redondo Beach,"10,129"
Fairfax,"10,122"
Artesia,"10,036"
Arleta,"10,034"
North Hills,"10,003"
West Whittier-Los Nietos,"9,899"
Gardena,"9,894"
Leimert Park,"9,880"
San Fernando,"9,856"
Winnetka,"9,826"
El Sereno,"9,826"
Santa Monica,"9,817"
Charter Oak,"9,816"
Carthay,"9,642"
Mayflower Village,"9,585"
Chesterfield Square,"9,571"
San Gabriel,"9,433"
Elysian Valley,"9,354"
West Carson,"9,219"
Compton,"9,199"
Del Aire,"9,132"
Harbor City,"9,127"
Willowbrook,"9,117"
Long Beach,"8,882"
Gramercy Park,"8,859"
North El Monte,"8,677"
Manhattan Beach,"8,573"
Downey,"8,566"
Glassell Park,"8,524"
East La Mirada,"8,506"
Atwater Village,"8,379"
Temple City,"8,366"
Lakewood,"8,348"
Windsor Square,"8,255"
Sun Valley,"8,048"
San Pasqual,"8,036"
Century City,"7,869"
Monterey Park,"7,823"
Lake Balboa,"7,754"
Harbor Gateway,"7,720"
Beverlywood,"7,654"
Eagle Rock,"7,644"
Alondra Park,"7,548"
Culver City,"7,475"
Montebello,"7,329"
Pico Rivera,"7,187"
Rancho Park,"7,169"
South El Monte,"7,150"
South Pasadena,"7,114"
Montecito Heights,"6,959"
Mount Washington,"6,878"
Athens,"6,829"
Torrance,"6,701"
Covina,"6,701"
Sherman Oaks,"6,687"
San Pedro,"6,640"
Pomona,"6,556"
West Covina,"6,509"
Hancock Park,"6,459"
Toluca Lake,"6,393"
Glendale,"6,368"
Northridge,"6,080"
View Park-Windsor Hills,"6,008"
La Mirada,"5,966"
Beverly Hills,"5,933"
Avocado Heights,"5,907"
Cerritos,"5,851"
Burbank,"5,785"
Mission Hills,"5,721"
South San Gabriel,"5,708"
Marina del Rey,"5,706"
Whittier,"5,688"
Wilmington,"5,636"
Sylmar,"5,579"
La Crescenta-Montrose,"5,401"
Studio City,"5,395"
Pasadena,"5,366"
Desert View Highlands,"5,160"
Altadena,"4,900"
Downtown,"4,770"
Arcadia,"4,749"
Carson,"4,676"
East Pasadena,"4,622"
West Hills,"4,551"
Cheviot Hills,"4,520"
Hacienda Heights,"4,503"
Azusa,"4,496"
Porter Ranch,"4,462"
Encino,"4,411"
Signal Hill,"4,171"
Woodland Hills,"4,040"
Tarzana,"4,038"
La Verne,"3,863"
Westchester,"3,839"
Sunland,"3,825"
Diamond Bar,"3,754"
Rowland Heights,"3,604"
Sierra Madre,"3,563"
Playa del Rey,"3,542"
San Marino,"3,428"
Granada Hills,"3,344"
Walnut,"3,329"
West Compton,"3,291"
Duarte,"3,212"
Rancho Palos Verdes,"3,084"
Castaic,"3,076"
Hollywood Hills,"3,063"
Hollywood Hills West,"3,048"
El Segundo,"2,925"
Palos Verdes Estates,"2,822"
Lake View Terrace,"2,790"
Stevenson Ranch,"2,765"
Santa Clarita,"2,745"
Tujunga,"2,649"
Monrovia,"2,643"
Val Verde,"2,588"
Glendora,"2,568"
Agoura Hills,"2,495"
Quartz Hill,"2,475"
La Cañada Flintridge,"2,369"
Chatsworth,"2,301"
San Dimas,"2,244"
Ladera Heights,"2,214"
Rolling Hills Estates,"2,185"
Claremont,"2,124"
Brentwood,"2,059"
Santa Fe Springs,"2,014"
Commerce,"1,912"
Playa Vista,"1,859"
Lake Los Angeles,"1,601"
Elysian Park,"1,538"
Westlake Village,"1,534"
Beverly Crest,"1,318"
Calabasas,"1,247"
Bel-Air,"1,207"
Lancaster,"1,180"
Avalon,"1,159"
Ramona,"1,122"
Hidden Hills,"1,100"
Pacific Palisades,"1,048"
Shadow Hills,"1,023"
La Habra Heights,979
Rancho Dominguez,947
West San Dimas,937
Sun Village,917
Rolling Hills,893
Palmdale,874
North Whittier,797
Littlerock,766
Veterans Administration,683
Bradbury,658
Malibu,629
Northwest Palmdale,540
Topanga,386
Green Valley,290
Elizabeth Lake,219
Lopez/Kagel Canyons,195
Acton,166
Irwindale,154
Hasley Canyon,136
Unincorporated Santa Monica Mountains,100
Agua Dulce,99
Leona Valley,90
Industry,82
Lake Hughes,61
Unincorporated Santa Susana Mountains,58
Castaic Canyons,40
Southeast Antelope Valley,27
Vernon,18
Northwest Antelope Valley,16
Tujunga Canyons,11
Northeast Antelope Valley,10
Ridge Route,7
Angeles Crest,3
Unincorporated Catalina Island,2